 ,Location 1,Location 2,Location 3
খোকা পুত্র ইশরাক,Dhaka,Mymensingh,Sherpur
চলিতেসে সার্কাস,Sylhet,Moulvibazar,
প্রতিমন্ত্রী হিসেবে হেতের কাজ টা কি,Dhaka,Khulna,
হোগা মারা সারা,Dhaka,,
অভিনন্দন,Dhaka,Mymensingh,
আল্লাহরে এডা কি হইলো,Comilla,,
"""Bhai vlo korse, oy ar nogor daddyr jonno abedon k9rte parbo na""",Dhaka,Madaripur,
দেশের বারোটা বাজাইবে,Dhaka,,
"""হতে চাইলেন মেয়র, তাকে মন্ত্রী করা হয়েছে, এটা অন্যায়""",দিনাজপুর,,
আস্তাগফিরুল্লাহ!,Dhaka,,
স্বাধীনতার 53 বছর । দেশ প্রেমিক মুক্তিযোদ্ধারা দেশ চালানো দেশের মানুষের উচ্চ ও নিম্ন মান সেবা গুলো …,Narayanganj,,
একটা জিনিস বুজলাম না বিরোধীদলের কোনো এমপিকে মন্ত্রী পদে দেখলাম না,Dhaka,,
মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয় তো আগেই ছিল। এবার এটা জুলাই বিষয়ক মন্ত্রণালয় না বানায়!,Dhaka,,
আমি মনে হয় ইসরাক কে মুক্তি যুদ্ধ করতে দেখেছি আমার পাশেই ছিল,Dhaka,,
Masahallah,Dhaka,,
উনি তখন জন্মগ্রহণী করে নাই আর তাকে দিয়েছে মুক্তিযুদ্ধ বিষয়ক প্রতিমন্ত্রী । অন্য দপ্তর কি ছিল না?,Dhaka,Tangail,
কামার কে দিলো কুমারের কাজ,Dinajpur,,
কখন যে বলে বসে সেও মুক্তিযুদ্ধে কারন হাসিনা আমলে সম্ভব তাই,Dhaka,,
আমার পেইজটিতে আমন্ত্রণ রইলো,Noakhali,,
"""পজিটিভ রিপ্লাই (কারো খারাপ সময়ে কমেন্ট করার জন্য) খারাপ সময় শেষ হয়, শক্ত মানুষ শেষ হয় না।…""",Dhaka,,
যত দাড়ি টুপি লোক আছে সবাই হবে ৱাজাকাৱ জনাব ইশৱাক যখন মুক্তিযুদ্ধ মন্ত্ৰী,Dhaka,,
সবাই সাপোর্ট করবেন প্লিজ লাইক ফলো দিয়ে পাশে থাকবেন ধন্যবাদ সবাইকে,Dhaka,,
United States of Bagura,Dhaka,,
"""ভীড় ঠেলে যেই যুদ্ধ করে সামনে যায়,, এটা দেখার পরে তারেখ জিয়া মনে হয়, এরে এই পদ দেয়ার সিন্ধান্ত নিয়েছে""",Dhaka,,
ওরে বাটপার,Mymensingh,,
Fozu pagla k asha korchilam,Khulna,Magura,
স্বাধীনতার ৫৪ বছর পরে এই মন্ত্রণালয়ের কাজটা কি,Dhaka,,
কিন্তু ওয় শপথ নিসে জামাতের সাথে। যেই লোক জীবনের এত গুরুত্বপূর্ণ েও লেট করতে পারে সে মন্ত্রণালয়ে কি করবে? …,Dhaka,,
ফজলুর রহমান কি দোষ করলো?,ব্রাহ্মণবাড়িয়া,,
ইশরাক ভাইকে দেওয়া দরকার ছিলো ঘেরাও ও নিজে নিজে শপথ নেওয়া বিষয়ক মন্ত্রী,Dhaka,Madaripur,
কোন বলে বসে। সে নিজেই মুক্তিযোদ্ধা ।,Feni,,
কাম ছাড়ছে,Thakurgaon,,
হেতে মুক্তিযুদ্ধের কমান্ডার ছিলো,Chittagong,Noakhali,
ভাই আমারে সার্টিফিকেট দেওয়া যাবে টাকা দিবো ১০ হাজার।,Dhaka,,
একে তো তালা আর ঘেরাও বিষয়ক মন্ত্রী বানানো উচিত ছিল,Rajshahi,Dinajpur,
এখন বলবে আমি নেই যুদ্ধ ঘোষনা করলাম অন্য কোন দেশ লাগবে না,ঢাকা,Dhaka,Narayanganj
কি যে বিনোদন,নরসিংদী,Dhaka,Jamalpur
Des ta ses,Dhaka,,
মেয়রের আশাও শেষ,Dhaka,,
হাস্যকর,Dhaka,,
তাকে যেনো কোনো মিডিয়ার সামনে না আনা হয় কারণ তার কথা শুনলে আমার হাঁপানি উঠে। …,Dhaka,Kishoreganj,
