Comment,Location 1,Location 2,Location 3
Jole,Dhaka,,
"""ইতে দৌরিলে দৌরগ্গই এনা, তুয়াত্তুন কা জ্বলের",Chittagong,Cox's Bazar,
এত কষ্ট প্রেমিক হয়ে গেছে নাট বোল্ডর নাতি,Sylhet,Habiganj,
জলে নাকি চলে সাজিস মলম,Dhaka,,
জমিদারের নাতি হোগা সার্ভিস,Dhaka,,
"""এতো কষ্ট ,কষ্ট লাগে কেনোযে অন্তরে",Khulna,Rangamati,Jessore
আর কি দেয় সোনা,Chittagong,Lakshmipur,
তুই দৌড়াইস তাইলে,ঢাকা,নরসিংদী,Dhaka
তাতে তোমার এতো জ্বলে কেন আমার বুঝে আসে না,Dhaka,Chittagong,Pirojpur
আপনাদের কয় পর জেল খাটাবে বিএনপি। সেটা চিন্তা করে আমাদেরো কষ্ট হয়,চট্টগ্রাম,Dhaka,Gazipur
প্রধানমন্ত্রী বিএনপি'র ছাত্রদল দৌড়াবে না তো কে দৌড়াবে তুই,Chittagong,Noakhali,
তোমার সমস্যা কোথায় ?,Dhaka,Barguna,
জালারে জালা অন্তরে জালা,Sirajganj,,
Jamater lungir tale dukle vlo lage,Barisal,Patuakhali,
"""ও মা গো তাই নাকি মোস্তাক, মায়ের চেয়ে মাসির দরদ উপচে পড়তেছি দি",Kishoreganj,,
জ্বালারে জ্বালা অন্তর জ্বালা,Dhaka,Narsingdi,
Tor bada oii joggota nai Togo any koyta kormi acy ncp …,কিশোরগঞ্জ,Dhaka,Kishoreganj
কেন রে তুই দৌড়াতে চাইছিলি পারিস নাই সেজন্য তোর এতো কষ্ট???,Jashore,,
আসলে দেখলে খারাপই লাগে,Sylhet,,
আমাকেও দেয়,নোয়াখালী,Dhaka,Comilla
হাতে বিস্কুট থাকলে কুকুর তো পিছে পিছে দৌড়াবেই,Dhaka,Barisal,
"""শরীর চর্চা করছে,এটা স্বাভাবিক ব্যাপার,এ নিয়ে বলার কি আছে",Rangpur,,
দৌড় প্রতিযোগিতা প্রথম হইতে ছায় রাকিব চাচা,Narail,,
তুমি তোমার নিজের চিন্তা করো মিয়া। কে দৌড়ায় কে হাটে এগুলি দেইখ না,Comilla,,
beta tui age july foundation er hishab de,Dhaka,,
"""কাল থেকে তুমি দৌড়াইও ভাইয়া, হাহাহা। এমন ধরনের মন্তব্য অবাঞ্ছিত",Dhaka,Satkhira,
"""ঠিকই-দৌড়াবে তো সারবিস আলম,,।",Dhaka,Narsingdi,
ওর কি সমস্যা?,Sunamganj,,
পলর এ্যাডা,Chittagong,,
হ্যাঁ আপনি সত্য বলেছেন,Khulna,,
এখন সবকিছু আমাদের কাছে শিখতে হবে,Dhaka,Tangail,
তোমার দৌড়ানির কিয়াল নি তে,সিলেট,Sylhet,
ছাত্রদলের কর্মকাণ্ড দেখলে মনে হয় ছাত্রলীগের রাজনীতি অনেক সম্মানের ছিল!ছাত্রদলের আচরণ লজ্জাজনক!,Chittagong,Cox's Bazar,
