location,location_mentions_after_forming_government,unique_comments_after_forming_government,comment_share_after_forming_government,location_mentions_post_june_2026,unique_comments_post_june_2026,comment_share_post_june_2026,mention_delta,comment_share_delta,growth_rate
Dinajpur,23.0,23.0,0.005538165181796292,49.0,49.0,0.013297150610583446,26.0,0.007758985428787154,1.1304347826086956
Lakshmipur,22.0,22.0,0.005297375391283409,46.0,46.0,0.01248303934871099,24.0,0.007185663957427581,1.0909090909090908
Munshiganj,12.0,12.0,0.002889477486154587,35.0,35.0,0.009497964721845319,23.0,0.006608487235690732,1.9166666666666667
Magura,9.0,9.0,0.0021671081146159405,31.0,31.0,0.00841248303934871,22.0,0.006245374924732769,2.4444444444444446
Noakhali,51.0,51.0,0.012280279316156995,71.0,71.0,0.019267299864314788,20.0,0.0069870205481577935,0.39215686274509803
Gopalganj,6.0,6.0,0.0014447387430772936,25.0,25.0,0.0067842605156037995,19.0,0.005339521772526506,3.1666666666666665
Sunamganj,9.0,9.0,0.0021671081146159405,28.0,28.0,0.007598371777476255,19.0,0.005431263662860314,2.111111111111111
Bagerhat,10.0,10.0,0.0024078979051288226,28.0,28.0,0.007598371777476255,18.0,0.005190473872347432,1.8
Lalmonirhat,9.0,9.0,0.0021671081146159405,25.0,25.0,0.0067842605156037995,16.0,0.004617152400987859,1.7777777777777777
Sirajganj,28.0,28.0,0.006742114134360703,43.0,43.0,0.011668928086838535,15.0,0.004926813952477832,0.5357142857142857
Satkhira,19.0,19.0,0.004575006019744763,34.0,34.0,0.009226594301221167,15.0,0.004651588281476405,0.7894736842105263
Nilphamari,4.0,4.0,0.000963159162051529,18.0,18.0,0.004884667571234735,14.0,0.003921508409183206,3.5
Jamalpur,20.0,20.0,0.004815795810257645,34.0,34.0,0.009226594301221167,14.0,0.004410798490963522,0.7
Thakurgaon,9.0,9.0,0.0021671081146159405,22.0,22.0,0.005970149253731343,13.0,0.003803041139115403,1.4444444444444444
Gaibandha,3.0,3.0,0.0007223693715386468,15.0,15.0,0.004070556309362279,12.0,0.0033481869378236325,4.0
Patuakhali,14.0,14.0,0.0033710570671803513,25.0,25.0,0.0067842605156037995,11.0,0.003413203448423448,0.7857142857142857
Pirojpur,5.0,5.0,0.0012039489525644113,16.0,16.0,0.004341926729986432,11.0,0.0031379777774220205,2.2
Kurigram,1.0,1.0,0.00024078979051288225,12.0,12.0,0.0032564450474898234,11.0,0.0030156552569769414,11.0
Kushtia,25.0,25.0,0.006019744762822056,36.0,36.0,0.00976933514246947,11.0,0.0037495903796474148,0.44
Sherpur,13.0,13.0,0.0031302672766674693,24.0,24.0,0.006512890094979647,11.0,0.0033826228183121776,0.8461538461538461
Netrokona,2.0,2.0,0.0004815795810257645,12.0,12.0,0.0032564450474898234,10.0,0.002774865466464059,5.0
Panchagarh,7.0,7.0,0.0016855285335901757,17.0,17.0,0.004613297150610584,10.0,0.0029277686170204077,1.4285714285714286
Narail,8.0,7.0,0.0016855285335901757,17.0,17.0,0.004613297150610584,9.0,0.0029277686170204077,1.125
Moulvibazar,1.0,1.0,0.00024078979051288225,10.0,10.0,0.0027137042062415195,9.0,0.0024729144157286374,9.0
Natore,14.0,14.0,0.0033710570671803513,20.0,20.0,0.005427408412483039,6.0,0.0020563513453026876,0.42857142857142855
Bandarban,3.0,3.0,0.0007223693715386468,9.0,9.0,0.0024423337856173677,6.0,0.001719964414078721,2.0
Meherpur,0.0,0.0,0.0,5.0,5.0,0.0013568521031207597,5.0,0.0013568521031207597,inf
Shariatpur,4.0,4.0,0.000963159162051529,9.0,9.0,0.0024423337856173677,5.0,0.0014791746235658387,1.25
Barguna,5.0,5.0,0.0012039489525644113,9.0,9.0,0.0024423337856173677,4.0,0.0012383848330529564,0.8
Khagrachhari,0.0,0.0,0.0,3.0,3.0,0.0008141112618724559,3.0,0.0008141112618724559,inf
Joypurhat,5.0,5.0,0.0012039489525644113,8.0,8.0,0.002170963364993216,3.0,0.0009670144124288046,0.6
Rajbari,1.0,1.0,0.00024078979051288225,4.0,4.0,0.001085481682496608,3.0,0.0008446918919837257,3.0
Chuadanga,2.0,2.0,0.0004815795810257645,5.0,5.0,0.0013568521031207597,3.0,0.0008752725220949952,1.5
Chapainawabganj,3.0,3.0,0.0007223693715386468,6.0,6.0,0.0016282225237449117,3.0,0.0009058531522062649,1.0
Rangamati,6.0,6.0,0.0014447387430772936,8.0,8.0,0.002170963364993216,2.0,0.0007262246219159223,0.3333333333333333
Manikganj,11.0,11.0,0.0026486876956417047,13.0,13.0,0.0035278154681139757,2.0,0.000879127772472271,0.18181818181818182
Jhenaidah,6.0,6.0,0.0014447387430772936,6.0,6.0,0.0016282225237449117,0.0,0.00018348378066761813,0.0
টাঙ্গাইল,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
শরীয়তপুর,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
লালমনিরহাট,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
লক্ষ্মীপুর,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
রাজবাড়ী,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
রাঙ্গামাটি,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
মৌলভীবাজার,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
মানিকগঞ্জ,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
মাগুরা,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
ব্রাহ্মণবাড়িয়া,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
বাগেরহাট,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
নীলফামারী,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
নারায়ণগঞ্জ,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
পটুয়াখালী,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
হবিগঞ্জ,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
ঝালকাঠি,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
Jhalokati,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
কুড়িগ্রাম,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
গোপালগঞ্জ,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
চুয়াডাঙ্গা,1.0,1.0,0.00024078979051288225,0.0,0.0,0.0,-1.0,-0.00024078979051288225,-1.0
বরগুনা,2.0,2.0,0.0004815795810257645,0.0,0.0,0.0,-2.0,-0.0004815795810257645,-1.0
সুনামগঞ্জ,2.0,2.0,0.0004815795810257645,0.0,0.0,0.0,-2.0,-0.0004815795810257645,-1.0
শেরপুর,2.0,2.0,0.0004815795810257645,0.0,0.0,0.0,-2.0,-0.0004815795810257645,-1.0
গাইবান্ধা,2.0,2.0,0.0004815795810257645,0.0,0.0,0.0,-2.0,-0.0004815795810257645,-1.0
পিরোজপুর,2.0,2.0,0.0004815795810257645,0.0,0.0,0.0,-2.0,-0.0004815795810257645,-1.0
বান্দরবান,2.0,2.0,0.0004815795810257645,0.0,0.0,0.0,-2.0,-0.0004815795810257645,-1.0
সিরাজগঞ্জ,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
সাতক্ষীরা,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
ঠাকুরগাঁও,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
চাঁপাইনবাবগঞ্জ,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
নওগাঁ,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
জামালপুর,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
পঞ্চগড়,3.0,3.0,0.0007223693715386468,0.0,0.0,0.0,-3.0,-0.0007223693715386468,-1.0
দিনাজপুর,4.0,4.0,0.000963159162051529,0.0,0.0,0.0,-4.0,-0.000963159162051529,-1.0
ঝিনাইদহ,4.0,4.0,0.000963159162051529,0.0,0.0,0.0,-4.0,-0.000963159162051529,-1.0
Jashore,4.0,4.0,0.000963159162051529,0.0,0.0,0.0,-4.0,-0.000963159162051529,-1.0
ফরিদপুর,5.0,5.0,0.0012039489525644113,0.0,0.0,0.0,-5.0,-0.0012039489525644113,-1.0
নাটোর,5.0,5.0,0.0012039489525644113,0.0,0.0,0.0,-5.0,-0.0012039489525644113,-1.0
কুষ্টিয়া,5.0,5.0,0.0012039489525644113,0.0,0.0,0.0,-5.0,-0.0012039489525644113,-1.0
ময়মনসিংহ,5.0,5.0,0.0012039489525644113,0.0,0.0,0.0,-5.0,-0.0012039489525644113,-1.0
ভোলা,5.0,5.0,0.0012039489525644113,0.0,0.0,0.0,-5.0,-0.0012039489525644113,-1.0
নোয়াখালী,6.0,6.0,0.0014447387430772936,0.0,0.0,0.0,-6.0,-0.0014447387430772936,-1.0
চাঁদপুর,6.0,6.0,0.0014447387430772936,0.0,0.0,0.0,-6.0,-0.0014447387430772936,-1.0
যশোর,7.0,7.0,0.0016855285335901757,0.0,0.0,0.0,-7.0,-0.0016855285335901757,-1.0
পাবনা,8.0,8.0,0.001926318324103058,0.0,0.0,0.0,-8.0,-0.001926318324103058,-1.0
বগুড়া,8.0,8.0,0.001926318324103058,0.0,0.0,0.0,-8.0,-0.001926318324103058,-1.0
কিশোরগঞ্জ,12.0,12.0,0.002889477486154587,0.0,0.0,0.0,-12.0,-0.002889477486154587,-1.0
নরসিংদী,16.0,16.0,0.003852636648206116,0.0,0.0,0.0,-16.0,-0.003852636648206116,-1.0
